"﻿""Data Source""",World Development Indicators,
Last Updated Date,2019-06-28,
Country Name,Country Code,Indicator Name,Indicator Code,Indicator Value
Angola,AGO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,46.3072104104837
Angola,AGO,Forest area (sq. km),AG.LND.FRST.K2,577311.9921875
Angola,AGO,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.125723662
Angola,AGO,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.004331751
Angola,AGO,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,54.13067627
Angola,AGO,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.121391911
Angola,AGO,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1516.944458
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,3.93037619314992
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4773401780701
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,591900
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.319
Albania,ALB,Urban population,SP.URB.TOTL,1728969
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,1.31716210445698
Albania,ALB,"Population, total",SP.POP.TOTL,2866376
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.246732042281782
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,1.1
Albania,ALB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,6.3
Albania,ALB,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.8
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,106.732292175293
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.952170014381409
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,18.3949039953239
Albania,ALB,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.3
Albania,ALB,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,63
Albania,ALB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,13.5256825491485
Albania,ALB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.71803297867369
Albania,ALB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,17.7360953122157
Albania,ALB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,4.87360594795539
Albania,ALB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,1.311
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,
Albania,ALB,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,7.070960686
Albania,ALB,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,2.382806577
Albania,ALB,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,4.688154109
Albania,ALB,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,5.26957699339956
Albania,ALB,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,1.5255
Albania,ALB,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,
Albania,ALB,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,0
Albania,ALB,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,0
Albania,ALB,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,-26.5410212950286
Albania,ALB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,1146.044766
Albania,ALB,Methane emissions (% change from 1990),EN.ATM.METH.ZG,3.81856801834344
Albania,ALB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,2644.2174
Albania,ALB,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,105
Albania,ALB,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,-19.923895714756
Albania,ALB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8898.64091140274
Albania,ALB,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,-75.0142799006836
Albania,ALB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,900.02242907469
